"","n.train","prediction.class","metric.type","dataset","value","min","max","sd","class.prop"
"43",4000,"Donatefundsyes","Accuracy","Custom",0.791888,0.78095,0.80255,0.00423763870783976,35.06
"44",4000,"Donatefundsyes","Accuracy","Minimal",0.788064,0.77655,0.80065,0.00516794255995849,35.0208
"45",4000,"Donatefundsyes","Accuracy","Standard",0.789045,0.7794,0.7987,0.00388785014987444,34.9485
"46",4000,"Donatefundsyes","Balanced.Accuracy","Custom",0.519430109272901,0.511289784419871,0.531578406609872,0.00415884087214728,35.06
"47",4000,"Donatefundsyes","Balanced.Accuracy","Minimal",0.520105941947329,0.510249552484077,0.530616803706775,0.00383540798992608,35.0208
"48",4000,"Donatefundsyes","Balanced.Accuracy","Standard",0.519688498985413,0.509021054940142,0.529826526967339,0.00411696449116577,34.9485
"49",4000,"Donatefundsyes","Detection.Prevalence","Custom",0.932176,0.9142,0.9473,0.00725256652586663,35.06
"50",4000,"Donatefundsyes","Detection.Prevalence","Minimal",0.925435,0.9043,0.9472,0.00855853139247381,35.0208
"51",4000,"Donatefundsyes","Detection.Prevalence","Standard",0.9268925,0.91265,0.9483,0.00750551438691054,34.9485
"52",4000,"Donatefundsyes","Detection.Rate","Custom",0.774382,0.76115,0.78945,0.005771256362353,35.06
"53",4000,"Donatefundsyes","Detection.Rate","Minimal",0.7691975,0.75165,0.78665,0.0070224185558636,35.0208
"54",4000,"Donatefundsyes","Detection.Rate","Standard",0.7705975,0.7578,0.7872,0.00543932730819322,34.9485
"55",4000,"Donatefundsyes","F1","Custom",0.881533010620956,0.874271775003587,0.888845103723928,0.00287118586963401,35.06
"56",4000,"Donatefundsyes","F1","Minimal",0.87889924158329,0.87059504850152,0.887318768900319,0.003545117275145,35.0208
"57",4000,"Donatefundsyes","F1","Standard",0.879592179335535,0.872940905425642,0.886636256124345,0.00266575292272113,34.9485
"58",4000,"Donatefundsyes","Kappa","Custom",0.0510867061634213,0.0306521121424519,0.0791999690776106,0.0101399197661878,35.06
"59",4000,"Donatefundsyes","Kappa","Minimal",0.0518494801532638,0.0283027957511684,0.0769199988237926,0.00919980317157524,35.0208
"60",4000,"Donatefundsyes","Kappa","Standard",0.0509494254549566,0.0249604317027644,0.0757077644004964,0.0100017429535503,34.9485
"61",4000,"Donatefundsyes","McnemarPValue","Custom",0.0504221582420192,0.0466660855604064,0.0551838067290446,0.0021035531892935,35.06
"62",4000,"Donatefundsyes","McnemarPValue","Minimal",0.0507300939328062,0.04602127238677,0.0567781914823181,0.00215708207113641,35.0208
"63",4000,"Donatefundsyes","McnemarPValue","Standard",0.0504831652064093,0.0460449339794591,0.0544793238542544,0.00189270625732,34.9485
"64",4000,"Donatefundsyes","Neg.Pred.Value","Custom",0.257793820618154,0.231182795698925,0.291497975708502,0.0128669797662559,35.06
"65",4000,"Donatefundsyes","Neg.Pred.Value","Minimal",0.253020473858058,0.222002635046113,0.285281647486372,0.0127239615015834,35.0208
"66",4000,"Donatefundsyes","Neg.Pred.Value","Standard",0.252098151432701,0.220508866615266,0.278021289918597,0.0129651035736678,34.9485
"67",4000,"Donatefundsyes","Pos.Pred.Value","Custom",0.830731826416967,0.824730085405812,0.836629639664048,0.00279447833409275,35.06
"68",4000,"Donatefundsyes","Pos.Pred.Value","Minimal",0.831180019434688,0.823638091216216,0.8387167295185,0.00293424982986191,35.0208
"69",4000,"Donatefundsyes","Pos.Pred.Value","Standard",0.831388414504052,0.824904173764906,0.838543662742951,0.00275495700231752,34.9485
"70",4000,"Donatefundsyes","Precision","Custom",0.830731826416967,0.824730085405812,0.836629639664048,0.00279447833409275,35.06
"71",4000,"Donatefundsyes","Precision","Minimal",0.831180019434688,0.823638091216216,0.8387167295185,0.00293424982986192,35.0208
"72",4000,"Donatefundsyes","Precision","Standard",0.831388414504052,0.824904173764906,0.838543662742951,0.00275495700231752,34.9485
"73",4000,"Donatefundsyes","Prevalence","Custom",0.8247,0.8191,0.8295,0.00234999462711614,35.06
"74",4000,"Donatefundsyes","Prevalence","Minimal",0.824896,0.817,0.83155,0.00282418916583935,35.0208
"75",4000,"Donatefundsyes","Prevalence","Standard",0.8252575,0.82015,0.8314,0.00226522207754693,34.9485
"76",4000,"Donatefundsyes","Recall","Custom",0.938985534952535,0.924833029751063,0.951947425539612,0.00635161276946956,35.06
"77",4000,"Donatefundsyes","Recall","Minimal",0.932477674876072,0.914976079452552,0.95178463399879,0.00783424191555486,35.0208
"78",4000,"Donatefundsyes","Recall","Standard",0.933770151840292,0.920162710217959,0.951414068165337,0.00666780551937256,34.9485
"79",4000,"Donatefundsyes","Sensitivity","Custom",0.938985534952535,0.924833029751063,0.951947425539612,0.00635161276946956,35.06
"80",4000,"Donatefundsyes","Sensitivity","Minimal",0.932477674876072,0.914976079452552,0.95178463399879,0.00783424191555486,35.0208
"81",4000,"Donatefundsyes","Sensitivity","Standard",0.933770151840292,0.920162710217959,0.951414068165337,0.00666780551937256,34.9485
"82",4000,"Donatefundsyes","Specificity","Custom",0.0998746835932669,0.0719403840642018,0.137746478873239,0.0129426772756722,35.06
"83",4000,"Donatefundsyes","Specificity","Minimal",0.107734209018585,0.0696184906711222,0.146257527960998,0.0133041104316531,35.0208
"84",4000,"Donatefundsyes","Specificity","Standard",0.105606846130536,0.0666280417149478,0.134429116524802,0.0130517627616591,34.9485
"85",4000,"ntmaj10art","Accuracy","Custom",0.9355295,0.9311,0.93975,0.00182539735538609,20.2458
"86",4000,"ntmaj10art","Accuracy","Minimal",0.934198,0.9304,0.9389,0.00163336301766471,20.2753
"87",4000,"ntmaj10art","Accuracy","Standard",0.93424,0.9297,0.9377,0.00175668995441984,20.2359
"88",4000,"ntmaj10art","Balanced.Accuracy","Custom",0.772729015635686,0.752709281972652,0.791916464739305,0.00870684214836938,20.2458
"89",4000,"ntmaj10art","Balanced.Accuracy","Minimal",0.773889047096896,0.750847100577848,0.793188748043394,0.00855082020526716,20.2753
"90",4000,"ntmaj10art","Balanced.Accuracy","Standard",0.773593419724784,0.749577725126447,0.791839846947873,0.00796611683981785,20.2359
"91",4000,"ntmaj10art","Detection.Prevalence","Custom",0.9216535,0.91105,0.93045,0.00343471768942668,20.2458
"92",4000,"ntmaj10art","Detection.Prevalence","Minimal",0.9194395,0.91065,0.9288,0.00369184396591823,20.2753
"93",4000,"ntmaj10art","Detection.Prevalence","Standard",0.9196235,0.911,0.92785,0.00345374525886483,20.2359
"94",4000,"ntmaj10art","Detection.Rate","Custom",0.877977,0.8689,0.88655,0.00257520637596055,20.2458
"95",4000,"ntmaj10art","Detection.Rate","Minimal",0.8761305,0.8703,0.8833,0.00270083128804164,20.2753
"96",4000,"ntmaj10art","Detection.Rate","Standard",0.876342,0.86955,0.88435,0.00274508486373207,20.2359
"97",4000,"ntmaj10art","F1","Custom",0.964583993290812,0.962028106916506,0.96698901460154,0.00103188577835669,20.2458
"98",4000,"ntmaj10art","F1","Minimal",0.963805481238031,0.961551209811071,0.966518713354157,0.000935432107878549,20.2753
"99",4000,"ntmaj10art","F1","Standard",0.963836089453508,0.961194524177523,0.965697610395331,0.00100378029415974,20.2359
"100",4000,"ntmaj10art","Kappa","Custom",0.60609087020446,0.580190440531308,0.633279504389789,0.0116544077275194,20.2458
"101",4000,"ntmaj10art","Kappa","Minimal",0.602527930270009,0.568097610571909,0.62273818458717,0.0105579233566813,20.2753
"102",4000,"ntmaj10art","Kappa","Standard",0.60203250401592,0.576831690397388,0.627024689438935,0.0110054793024609,20.2359
"103",4000,"ntmaj10art","McnemarPValue","Custom",0.000121574882807497,6.2368485778074e-05,0.000200899348418859,2.87815343384228e-05,20.2458
"104",4000,"ntmaj10art","McnemarPValue","Minimal",0.000137168513512251,7.62931966541426e-05,0.000214035795616482,2.80445274266189e-05,20.2753
"105",4000,"ntmaj10art","McnemarPValue","Standard",0.000136627627273482,8.05649108147579e-05,0.000219553244739303,2.96097667712843e-05,20.2359
"106",4000,"ntmaj10art","Neg.Pred.Value","Custom",0.734980007792599,0.698944754810677,0.76958224543081,0.0151802087752746,20.2458
"107",4000,"ntmaj10art","Neg.Pred.Value","Minimal",0.721193899599478,0.673998871968415,0.759831460674158,0.0136441580421062,20.2753
"108",4000,"ntmaj10art","Neg.Pred.Value","Standard",0.720626916465388,0.691343283582089,0.747054747054748,0.0130816226029523,20.2359
"109",4000,"ntmaj10art","Pos.Pred.Value","Custom",0.952615876233237,0.948284247500676,0.958258601010925,0.00226683062475317,20.2458
"110",4000,"ntmaj10art","Pos.Pred.Value","Minimal",0.952901822227501,0.946436261843239,0.957919569868876,0.00214853201771204,20.2753
"111",4000,"ntmaj10art","Pos.Pred.Value","Standard",0.952939500817045,0.946273643369079,0.957316740352601,0.00188361134577088,20.2359
"112",4000,"ntmaj10art","Precision","Custom",0.952615876233237,0.948284247500676,0.958258601010925,0.00226683062475317,20.2458
"113",4000,"ntmaj10art","Precision","Minimal",0.952901822227501,0.946436261843239,0.957919569868876,0.00214853201771204,20.2753
"114",4000,"ntmaj10art","Precision","Standard",0.952939500817045,0.946273643369079,0.957316740352601,0.00188361134577088,20.2359
"115",4000,"ntmaj10art","Prevalence","Custom",0.898771,0.89415,0.90385,0.00201945312129074,20.2458
"116",4000,"ntmaj10art","Prevalence","Minimal",0.8986235,0.89415,0.9037,0.00190920755415657,20.2753
"117",4000,"ntmaj10art","Prevalence","Standard",0.8988205,0.8946,0.906,0.00187197695692888,20.2359
"118",4000,"ntmaj10art","Recall","Custom",0.976864454510573,0.970783755097481,0.981485599911042,0.00208934068582677,20.2458
"119",4000,"ntmaj10art","Recall","Minimal",0.974969436756924,0.967956536201353,0.980918373040228,0.0021498085273556,20.2753
"120",4000,"ntmaj10art","Recall","Standard",0.97499043901354,0.969607570275536,0.979637377963738,0.00196925279283186,20.2359
"121",4000,"ntmaj10art","Sensitivity","Custom",0.976864454510573,0.970783755097481,0.981485599911042,0.00208934068582677,20.2458
"122",4000,"ntmaj10art","Sensitivity","Minimal",0.974969436756924,0.967956536201353,0.980918373040228,0.0021498085273556,20.2753
"123",4000,"ntmaj10art","Sensitivity","Standard",0.97499043901354,0.969607570275536,0.979637377963738,0.00196925279283186,20.2359
"124",4000,"ntmaj10art","Specificity","Custom",0.5685935767608,0.525731584258325,0.609523809523809,0.018687682615404,20.2458
"125",4000,"ntmaj10art","Specificity","Minimal",0.572808657436869,0.520943668753009,0.61453634085213,0.0186365454962254,20.2753
"126",4000,"ntmaj10art","Specificity","Standard",0.572196400436027,0.519518072289157,0.610619469026549,0.0170691054065413,20.2359
"127",4000,"ntmaj10edu","Accuracy","Custom",0.892967,0.8872,0.8994,0.00228942694960458,27.9552
"128",4000,"ntmaj10edu","Accuracy","Minimal",0.8921395,0.88655,0.8971,0.00214227877115313,27.9301
"129",4000,"ntmaj10edu","Accuracy","Standard",0.892383,0.88815,0.8983,0.00207942323977131,27.9745
"130",4000,"ntmaj10edu","Balanced.Accuracy","Custom",0.728517722463388,0.703974214666782,0.746336128241046,0.00707310951225557,27.9552
"131",4000,"ntmaj10edu","Balanced.Accuracy","Minimal",0.72551334706944,0.708356592520464,0.743612881737653,0.0067627959393917,27.9301
"132",4000,"ntmaj10edu","Balanced.Accuracy","Standard",0.725906127519422,0.707933326387734,0.752728533750222,0.00792993721335546,27.9745
"133",4000,"ntmaj10edu","Detection.Prevalence","Custom",0.892891,0.88005,0.90385,0.00447291726828128,27.9552
"134",4000,"ntmaj10edu","Detection.Prevalence","Minimal",0.893747,0.8836,0.9048,0.00461287624728079,27.9301
"135",4000,"ntmaj10edu","Detection.Prevalence","Standard",0.8938505,0.878,0.9087,0.00549928138096886,27.9745
"136",4000,"ntmaj10edu","Detection.Rate","Custom",0.823041,0.81595,0.83315,0.00349848004514283,27.9552
"137",4000,"ntmaj10edu","Detection.Rate","Minimal",0.823118,0.81625,0.82955,0.00323678759565622,27.9301
"138",4000,"ntmaj10edu","Detection.Rate","Standard",0.8231805,0.8148,0.8343,0.00361047784268582,27.9745
"139",4000,"ntmaj10edu","F1","Custom",0.938944540004939,0.935502315741323,0.943038333050224,0.00140021639213665,27.9552
"140",4000,"ntmaj10edu","F1","Minimal",0.938507076153144,0.935169576273608,0.941590509167282,0.00132047626530499,27.9301
"141",4000,"ntmaj10edu","F1","Standard",0.938641561647188,0.936164141197957,0.942552109811896,0.0012900927090792,27.9745
"142",4000,"ntmaj10edu","Kappa","Custom",0.506518054462383,0.46930751111393,0.531830790543499,0.0107695452402589,27.9552
"143",4000,"ntmaj10edu","Kappa","Minimal",0.501107630292946,0.479049335435909,0.522053184337441,0.00920078823696594,27.9301
"144",4000,"ntmaj10edu","Kappa","Standard",0.502399979568758,0.481937239320987,0.539464009145116,0.0104749525094993,27.9745
"145",4000,"ntmaj10edu","McnemarPValue","Custom",0.00312124262380118,0.00227843626894083,0.00409004272762586,0.000346428967950972,27.9552
"146",4000,"ntmaj10edu","McnemarPValue","Minimal",0.00325988762347719,0.00254410298514314,0.00417480452685488,0.000338021316395994,27.9301
"147",4000,"ntmaj10edu","McnemarPValue","Standard",0.00323460301058475,0.00231347895674455,0.00388104705805796,0.000316588074352013,27.9745
"148",4000,"ntmaj10edu","Neg.Pred.Value","Custom",0.653092903615491,0.622412241224122,0.677240684793555,0.0126683546318227,27.9552
"149",4000,"ntmaj10edu","Neg.Pred.Value","Minimal",0.650012932618295,0.618981481481482,0.681538461538462,0.0136791542359535,27.9301
"150",4000,"ntmaj10edu","Neg.Pred.Value","Standard",0.65245130653288,0.618690029203171,0.691817736403724,0.0144042713445925,27.9745
"151",4000,"ntmaj10edu","Pos.Pred.Value","Custom",0.921777715314535,0.914476959672512,0.92835634338958,0.00256572424115418,27.9552
"152",4000,"ntmaj10edu","Pos.Pred.Value","Minimal",0.920983354622854,0.913240495137047,0.929719330013581,0.00272153320943085,27.9301
"153",4000,"ntmaj10edu","Pos.Pred.Value","Standard",0.92095032115557,0.91493342137119,0.928082576012566,0.00281603717100482,27.9745
