,feature,pattern,code,Include
78,federal_tax_code,federal tax code,federal_tax_code=c('federal tax code'),y
79,booster_club_support,booster club support,booster_club_support=c('booster club support'),n
80,future_federal_tax,future federal tax,future_federal_tax=c('future federal tax'),n
81,mission_raise_funds,mission raise funds,mission_raise_funds=c('mission raise funds'),n
82,foundation_mission_provide,foundation mission provide,foundation_mission_provide=c('foundation mission provide'),n
83,section_future_federal,section future federal,section_future_federal=c('section future federal'),n
84,volunteer_fire_department,volunteer fire department,volunteer_fire_department=c('volunteer fire department'),y
85,mission_organization_provide,mission organization provide,mission_organization_provide=c('mission organization provide'),n
86,shall_operated_exclusively,shall operated exclusively,shall_operated_exclusively=c('shall operated exclusively'),n
87,inc_specific_purpose,inc specific purpose,inc_specific_purpose=c('inc specific purpose'),n
88,middle_high_school,middle high school,middle_high_school=c('middle high school'),y
89,enhance_support_educational,enhance support educational,enhance_support_educational=c('enhance support educational'),n
